,IICGSAT,TXILALEV,CIGEVER,MMTRD30D,IICGIRTB,CC30EST,IICGRGDY,IICGAVD,HL30EST,CR30EST,DNICNSP,IICRKAGE,MMTPLOS2,MMBTREC2,FUCIG21,CIGFLAG,IICD2YFU,HALEMCTD,COCNEEDL,MEDMJALL,PROBATON,MMLS5LBS,IEMFLAG,HALFLAG,MMGSELL
37917,9,0,1,93,9,91,9,9,91,91,0,9,93,93,1,1,9,91,91,93,2,993,0,0,93
45634,9,0,1,99,9,91,9,9,91,91,0,9,99,2,1,1,9,91,91,99,2,999,1,0,99
37387,1,0,1,99,1,91,1,1,91,91,0,9,99,99,1,1,3,91,91,99,2,999,1,0,99
4630,9,0,1,91,9,91,9,9,91,91,0,9,91,91,1,1,9,91,91,91,2,991,0,0,91
21907,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
228,1,0,1,93,1,99,1,1,91,99,1,1,93,93,1,1,3,91,2,93,2,993,1,0,93
45808,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
27893,9,0,1,99,9,91,9,9,91,91,0,9,99,99,1,1,9,91,91,99,2,999,0,0,99
30666,9,0,1,93,9,91,9,9,91,91,0,9,93,93,1,1,3,91,91,93,2,993,1,0,93
11564,9,0,1,91,9,91,9,9,91,91,0,9,91,91,1,1,9,91,91,91,2,991,0,0,91
50171,9,0,1,91,9,91,9,9,91,91,0,9,91,91,2,1,9,91,91,91,2,991,0,0,91
6528,9,0,1,91,9,91,9,9,91,91,0,9,91,91,1,1,9,91,91,91,2,991,0,0,91
26506,9,0,1,99,9,93,9,9,93,93,0,1,99,99,1,1,3,93,2,99,2,999,1,1,99
5770,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
9987,9,0,1,99,9,91,9,9,91,91,0,9,99,99,1,1,3,91,91,1,2,999,0,0,99
8260,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
38916,1,1,1,93,1,93,1,1,93,93,1,1,93,93,1,1,3,93,1,93,2,993,1,1,93
19349,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
43483,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
12419,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
36343,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
28795,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
27150,9,0,1,91,9,91,9,9,91,91,0,9,91,91,1,1,3,91,91,91,2,991,0,0,91
2369,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
44558,9,0,2,99,9,91,9,9,91,91,0,9,99,99,2,0,9,91,91,99,2,999,0,0,99
23089,9,1,1,99,9,93,9,9,93,91,0,9,99,99,1,1,3,99,2,2,2,999,1,1,99
21637,9,0,1,99,9,91,9,9,91,91,0,9,99,2,1,1,9,91,91,99,2,999,0,0,99
13590,9,0,1,91,9,91,9,9,91,91,0,9,91,91,1,1,9,91,91,91,2,991,0,0,91
48733,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
21661,1,0,1,99,1,91,1,1,91,91,1,9,99,99,1,1,3,91,91,99,2,999,0,0,99
17519,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
50753,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
45088,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
9857,1,0,1,91,1,91,1,1,91,91,0,9,91,91,1,1,3,91,91,91,2,991,1,0,91
23943,1,0,1,99,1,91,1,1,91,91,0,9,99,1,1,1,9,91,91,99,2,999,1,0,99
52976,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
39874,1,0,1,91,1,91,1,1,91,91,1,9,91,91,2,1,3,91,91,91,2,991,0,0,91
18914,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
28245,1,1,1,93,1,93,1,1,93,91,1,9,93,93,1,1,3,93,2,93,2,993,1,1,93
5440,1,0,1,99,1,91,1,1,91,91,0,9,99,99,1,1,9,91,91,99,2,999,1,0,99
31487,1,0,1,93,1,91,1,1,93,91,0,9,93,93,1,1,3,93,91,93,2,993,1,1,93
28699,9,0,1,93,9,91,9,9,91,91,0,9,93,93,1,1,9,91,91,93,2,993,1,0,93
31723,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
12219,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
4632,1,0,1,91,1,91,1,1,91,91,0,9,91,91,1,1,3,91,91,91,2,991,0,0,91
30732,1,0,1,91,1,91,1,1,91,91,0,9,91,91,1,1,9,91,91,91,2,991,0,0,91
1056,9,0,1,93,9,91,9,9,93,91,0,9,93,93,1,1,9,93,91,93,2,993,1,1,93
37407,1,0,1,93,1,91,1,1,93,91,1,9,93,93,1,1,3,93,91,93,2,993,1,1,93
43514,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
32171,9,0,1,93,9,91,9,9,91,91,0,9,93,93,1,1,3,91,91,93,2,993,0,0,93
12465,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
52591,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
43557,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
9533,9,0,1,99,9,91,9,9,91,91,0,9,99,99,1,1,9,91,91,99,2,999,1,0,99
24112,1,0,1,93,1,91,1,1,91,91,1,9,93,93,1,1,3,91,91,93,2,993,0,0,93
51886,9,0,1,91,9,91,9,9,91,91,0,9,91,91,1,1,9,91,91,91,2,991,0,0,91
8743,1,0,1,93,1,91,1,1,91,91,0,9,93,93,1,1,3,91,91,93,2,993,0,0,93
36365,9,0,1,91,9,91,9,9,91,91,0,9,91,91,1,1,3,91,91,91,2,991,0,0,91
50492,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
38402,1,0,1,91,1,91,1,1,91,91,0,9,91,91,1,1,3,91,91,91,2,991,1,0,91
43523,9,0,2,93,9,91,9,9,91,91,0,9,93,93,2,0,9,91,91,93,2,993,0,0,93
13635,1,1,1,93,1,91,1,1,91,91,1,9,93,93,1,1,3,91,91,93,1,993,1,0,93
27447,1,0,1,2,1,91,1,1,91,91,0,9,99,99,1,1,3,91,91,99,2,999,0,0,99
13116,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
25480,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
40720,9,0,1,93,9,91,9,9,91,91,0,9,93,93,1,1,3,91,91,93,2,993,1,0,93
39851,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
4231,9,0,2,93,9,91,9,9,93,91,0,9,93,93,2,0,9,93,91,99,1,993,1,1,93
48874,9,0,1,99,9,91,9,9,91,91,0,9,99,99,2,1,9,91,91,99,2,999,0,0,99
3867,9,0,2,93,9,91,9,9,91,91,0,9,93,93,2,0,9,91,91,93,2,993,0,0,93
5624,9,0,1,91,9,91,9,9,91,91,0,9,91,91,2,1,9,91,91,91,2,991,0,0,91
41470,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
14243,1,0,1,91,1,91,1,1,91,91,1,9,91,91,1,1,3,91,91,91,2,991,0,0,91
8446,9,0,1,93,9,91,9,9,91,91,0,9,93,93,1,1,3,93,91,93,2,993,1,0,93
26850,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
16127,9,0,1,91,9,91,9,9,91,91,0,9,91,91,1,1,9,91,91,91,2,991,1,0,91
25989,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
52842,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
51555,9,0,1,91,9,91,9,9,91,91,0,9,91,91,1,1,9,91,91,91,2,991,1,0,91
5095,9,0,2,91,9,91,9,9,91,91,0,9,91,91,2,0,9,91,91,91,2,991,0,0,91
45758,9,0,2,93,9,91,9,9,91,91,0,9,93,93,2,0,9,91,91,93,2,993,0,0,93
789,1,0,1,93,1,91,1,1,91,91,1,9,93,93,1,1,3,91,91,93,2,993,1,0,93
2633,9,0,2,93,9,91,9,9,91,91,0,9,93,93,2,0,9,91,91,93,2,993,0,0,93
40438,9,0,1,99,9,91,9,9,91,91,0,9,99,99,1,1,9,91,91,99,2,999,0,0,99
24510,1,0,1,93,1,93,1,1,93,91,1,9,93,93,1,1,3,93,2,93,2,993,1,1,93
